test,model,position,loss
random,Transformer,251,13.479963302612305
random,BDH,252,15.018112182617188
random,Transformer,252,14.358389854431152
random,BDH,253,14.524762153625488
random,Transformer,253,13.920513153076172
random,BDH,254,14.120805740356445
random,Transformer,254,13.330214500427246
random,BDH,255,15.385419845581055
random,Transformer,255,13.923882484436035
copy_gap20,BDH,20,12.683427810668945
copy_gap20,Transformer,20,12.956881523132324
copy_gap50,BDH,50,12.681816101074219
copy_gap50,Transformer,50,12.88630199432373
copy_gap100,BDH,100,12.7556734085083
copy_gap100,Transformer,100,12.91430377960205
copy_gap150,BDH,150,12.77934455871582
copy_gap150,Transformer,150,12.848719596862793
loss_ratio,BDH,0,0.9643919275992263
loss_ratio,Transformer,0,0.9323245172151441
